| Series   |   Mass | EOS   |   trise |    kpush |    xi175 |    xi200 |    xi225 |   Outcome |   M_rem |   M_Fe |    M_CO |    M_He |     M_H |     E_exp |   t_bounce |    t_exp |    t_end |
| s        |   12.2 | SFHx  |     0.4 | 3.45559  | 0.199631 | 0.085535 | 0.035836 |         0 | 1.51642 | 1.5372 |  2.0765 |  3.1438 |  7.7852 | 0.763328  |   0.278895 | 0.459896 | 7        |
| u        |   25.2 | NL3   |     0.4 | 3.448    | 1.0175   | 0.466448 | 0.294659 |         0 | 1.88459 | 1.6127 |  6.9356 |  8.6665 | 16.5243 | 0.845293  |   0.417723 | 0.381469 | 1.70507  |
| u        |   24.2 | NL3   |     0.4 | 4.0632   | 0.914393 | 0.379461 | 0.257901 |         0 | 1.82151 | 1.5452 |  6.6507 |  8.3688 | 15.8228 | 0.988702  |   0.399923 | 0.354554 | 1.54928  |
| u        |   28.2 | NL3   |     0.4 | 3.46965  | 0.943466 | 0.464069 | 0.327907 |         0 | 1.81857 | 1.5607 |  7.8233 |  9.5828 | 18.6055 | 0.955306  |   0.394622 | 0.376188 | 2.07629  |
| u        |   26.2 | NL3   |     0.4 | 2.65244  | 1.09755  | 0.539373 | 0.343323 |         0 | 1.92354 | 1.6114 |  7.1566 |  8.8838 | 17.3063 | 0.64917   |   0.413061 | 0.423655 | 2.4437   |
| u        |   25.2 | TM1   |     0.4 | 3.55123  | 1.03779  | 0.454823 | 0.289187 |         0 | 1.88309 | 1.6127 |  6.9356 |  8.6665 | 16.5243 | 0.872863  |   0.417681 | 0.376778 | 1.69529  |
| u        |   27.2 | TM1   |     0.4 | 3.23566  | 1.02064  | 0.488371 | 0.363321 |         0 | 1.86946 | 1.5728 |  7.741  |  9.4384 | 17.7504 | 0.901884  |   0.410948 | 0.398122 | 1.947    |
| u        |   28.2 | TM1   |     0.4 | 3.56102  | 0.925038 | 0.453682 | 0.33981  |         0 | 1.81745 | 1.5607 |  7.8233 |  9.5828 | 18.6055 | 0.966043  |   0.394583 | 0.372119 | 2.01947  |
| u        |   24.2 | TM1   |     0.4 | 4.09229  | 0.900341 | 0.373452 | 0.254942 |         0 | 1.82222 | 1.5452 |  6.6507 |  8.3688 | 15.8228 | 0.961045  |   0.399886 | 0.354719 | 1.54228  |
| u        |   26.2 | TM1   |     0.4 | 2.84896  | 1.05914  | 0.523363 | 0.355848 |         0 | 1.91839 | 1.6114 |  7.1566 |  8.8838 | 17.3063 | 0.728826  |   0.413017 | 0.408907 | 2.27013  |
